title,channel_name,subscriber_count,view_count,ratio,status
「【シニア恋愛・長編朗読】65歳で夫を亡くし一人暮らしを始めた私。3ヶ月後、認知症の妻を持つ隣人と毎朝お茶を飲む間柄になった。ある春の朝、彼が初めて言った言葉で涙が止まらなかった…」,シニア恋愛,3040,270000,90.3,未着手
「「介護なんて愛情じゃない、義務だ」と言い続けた63歳の嫁が、姑の葬儀で初めて見た仏壇の引き出しの中身。22年間の確執が、たった1枚の手紙で全て溶けた【介護・感動朗読・40分】」,介護感動,11500,1390000,121,未着手
「【実話朗読・シニア恋愛】35年間、嫌いな夫と仮面夫婦を続けた62歳が、退職後に朗読サークルで出会った男性のことをどうしても忘れられなくなった話。最後の選択は正しかったのか――【1時間・長編】」,シニア恋愛,3040,270000,90.3,未着手
「「もう限界です」と号泣した65歳の介護妻が、ある夜夫から初めて言われた言葉。15年の介護生活が、たった一言で報われた瞬間の話【泣ける長編朗読・45分】」,介護感動,11500,1390000,121,未着手
「「三十年ぶりに彼の声を聞いた」64歳・定年後の私が区の朗読ボランティアで出会った男性。彼が読んでいたのは、30年前に私が彼に渡した詩集だった【シニア恋愛・感動朗読】」,シニア恋愛,3040,270000,90.3,未着手
「施設に入った母が毎週木曜だけ目を輝かせていた理由。半年後に娘が偶然目撃した「秘密の時間」の真実に、スタッフ全員が泣き崩れた【介護・感動朗読・30分】」,介護感動,11500,1390000,121,未着手
「「老後は施設でいい」が口癖だった夫が遺した遺言書。68歳の妻が弁護士に呼ばれ封筒を開けると、そこには20年間夫が隠していた秘密が書いてあった【泣ける話・長編朗読】」,介護感動,11500,1390000,121,未着手
「大嫌いだった姑が余命1ヶ月で初めて言った一言。「ありがとう」でも「ごめんね」でもなく、彼女が選んだのは私が予想もしなかった言葉だった【嫁姑・泣ける朗読・35分】」,嫁姑感動,11500,1390000,121,未着手
「【黄昏朗読・長編】夫の在宅介護に疲れ果てた58歳の私に、週2回来る男性ヘルパーが「奥さん、少し休んでください」と言い続けた理由。2年後、彼が転勤前に渡した封筒の中身【シニア恋愛・介護・感動】」,シニア恋愛介護,3040,270000,90.3,未着手
「年金8万円で貯金ゼロ、67歳で一人になった私が「もう終わりだ」と思った日の翌朝に起きたこと。あれから3年、今の私を見た娘は言葉を失った【シニア感動朗読・実話・50分】」,シニア人生逆転,4740,2060000,436,未着手
